id,tissue,mes,epi,p,b vs c,c vs d,d vs b,poverall,p1,p2,p3
TWEAK,1087.00 ,1309.00 ,2185.00 ,0.736,0.085745998,0.000321803,0.000113965,FALSE,FALSE,TRUE,TRUE
P-Cadherin,12035.00 ,2176.00 ,14930.00 ,0.737,4.05E-07,1.50E-06,0.010672127,FALSE,TRUE,TRUE,FALSE
CD6,728.00 ,1127.00 ,3616.00 ,0.763,0.003542163,0.001430877,0.000674026,FALSE,FALSE,FALSE,TRUE
IL-3 Rb,5579.00 ,6243.00 ,6090.00 ,0.786,0.028827846,0.334289709,0.096539606,FALSE,FALSE,FALSE,FALSE
IL-1 R4,2046.00 ,1369.00 ,1390.00 ,0.825,0.005080727,0.754318322,0.004719832,FALSE,FALSE,FALSE,FALSE
Clusterin,2503.00 ,3658.00 ,53854.00 ,0.867,0.005380869,4.64E-08,3.72E-08,FALSE,FALSE,TRUE,TRUE
IL-21,663.00 ,373.00 ,322.00 ,0.874,0.001941139,0.353818546,4.58E-05,FALSE,FALSE,FALSE,TRUE
OX40 Ligand,5430.00 ,1218.00 ,1254.00 ,0.892,9.19E-08,0.792107674,6.89E-08,FALSE,TRUE,FALSE,TRUE
MMP-10,2051.00 ,2751.00 ,41900.00 ,0.892,0.016212799,2.43E-05,2.20E-05,FALSE,FALSE,TRUE,TRUE
JAM-A,107448.00 ,4544.00 ,92651.00 ,0.91,2.19E-06,2.01E-05,0.165730862,FALSE,TRUE,TRUE,FALSE
P-selectin,476.00 ,247.00 ,1152.00 ,0.915,0.00062089,1.82E-05,7.90E-05,FALSE,TRUE,TRUE,TRUE
VEGF-D,1218.00 ,797.00 ,0.00 ,0.92,0.012676802,0.00016691,2.67E-06,FALSE,FALSE,TRUE,TRUE
CD27,2144.00 ,3481.00 ,1260.00 ,0.93,2.84E-05,4.05E-06,0.001685767,FALSE,TRUE,TRUE,FALSE
Endoglin,1063.00 ,936.00 ,1063.00 ,0.941,0.147943113,0.424694696,0.998069451,FALSE,FALSE,FALSE,FALSE
E-Cadherin,90951.00 ,3066.00 ,100935.00 ,0.961,1.47E-07,2.76E-06,0.181432644,FALSE,TRUE,TRUE,FALSE
TSLP,9954.00 ,4161.00 ,69625.00 ,0.981,0.000115042,3.79E-09,9.93E-09,FALSE,TRUE,TRUE,TRUE
Tryptase ¦Å,11865.00 ,2306.00 ,44702.00 ,,1.63E-07,1.27E-08,6.50E-08,TRUE,TRUE,TRUE,TRUE
